Pair Type,S1 ID,Target ID,Country Match,Name Exact,Name Case Insensitive Exact,Name Token Jaccard,Addr Exact,Addr Token Jaccard
S1-S3,S1-116292005,S3-491460140,True,False,False,1.0,False,0.625
S1-S3,S1-116292005,S3-703236777,True,False,False,0.6,False,0.5556
S1-S2,S1-365046346,S2-945105765,True,False,False,0.5,False,0.8889
S1-S2,S1-365046346,S2-517483574,True,False,False,0.5,False,0.8889
S1-S3,S1-365046346,S3-651020082,True,False,False,0.6,False,0.5
S1-S2,S1-631976101,S2-944410437,True,False,False,0.6667,False,0.4667
S1-S2,S1-664752852,S2-5814053,True,False,False,0.6,False,0.5714
S1-S3,S1-664752852,S3-494612950,True,False,False,0.5,False,0.375
S1-S3,S1-664752852,S3-708404310,True,False,False,1.0,False,0.7143
S1-S2,S1-716717325,S2-433164325,True,False,False,0.0,False,0.75
S1-S2,S1-716717325,S2-686400156,True,False,False,0.0,False,0.2
S1-S2,S1-917688015,S2-118644964,True,False,False,0.5,False,0.6667
S1-S3,S1-917688015,S3-417520978,True,False,False,0.2,False,0.7778
S1-S3,S1-917688015,S3-633243555,True,False,False,0.4,False,0.7778
S1-S2,S1-476955207,S2-972516303,True,False,False,0.3333,False,0.0
S1-S2,S1-476955207,S2-7566950,True,False,False,0.6667,False,1.0
S1-S3,S1-476955207,S3-789775319,True,False,False,0.6667,False,0.1765
S1-S2,S1-4382837,S2-562887227,True,False,False,0.6,False,0.2857
S1-S2,S1-4382837,S2-517519668,True,False,False,0.4,False,0.0
S1-S3,S1-4382837,S3-48446318,True,False,True,1.0,False,0.1
S1-S3,S1-461958135,S3-675612540,True,False,False,0.8,False,0.4444
S1-S3,S1-461958135,S3-125659507,True,False,False,0.5714,False,0.375
S1-S2,S1-19650681,S2-991556619,True,False,False,1.0,False,0.4444
S1-S2,S1-19650681,S2-263459608,True,False,False,0.6667,False,1.0
S1-S3,S1-19650681,S3-650501674,True,False,False,0.6667,False,0.6667
S1-S3,S1-572186351,S3-978491801,True,False,False,1.0,False,0.4
S1-S3,S1-572186351,S3-475374909,True,False,False,0.75,False,0.5556
S1-S2,S1-640240542,S2-34840844,True,False,False,1.0,False,0.3
S1-S2,S1-640240542,S2-729354038,True,False,False,0.6,False,0.3
S1-S3,S1-640240542,S3-27701680,True,False,False,0.6667,False,1.0
S1-S2,S1-156157364,S2-901286769,True,False,False,0.6,False,0.8889
S1-S3,S1-156157364,S3-471736729,True,False,False,1.0,False,0.7
S1-S2,S1-712708889,S2-299164733,True,False,False,0.6,False,0.6667
S1-S2,S1-712708889,S2-18897662,True,False,False,0.0,False,1.0
S1-S3,S1-712708889,S3-418677516,True,False,False,0.6,False,0.25
S1-S3,S1-712708889,S3-739718106,True,False,False,0.5,False,0.2857
S1-S2,S1-671346366,S2-868658492,True,False,False,0.75,False,0.5556
S1-S2,S1-671346366,S2-363525059,True,False,False,0.5,False,0.5556
S1-S3,S1-671346366,S3-383919263,True,True,True,1.0,False,0.4444
S1-S3,S1-671346366,S3-248297853,True,False,False,1.0,False,0.4444
S1-S2,S1-759562098,S2-161044655,True,False,False,1.0,False,0.5714
S1-S3,S1-759562098,S3-198293329,True,False,False,0.6,False,0.4
S1-S3,S1-759562098,S3-524636168,True,True,True,1.0,False,0.4
S1-S2,S1-332767604,S2-965442097,True,False,False,0.0,False,0.6
S1-S2,S1-332767604,S2-829442781,True,False,False,0.0,False,0.6
S1-S3,S1-332767604,S3-440786429,True,False,False,0.6667,False,0.5
S1-S3,S1-332767604,S3-87785442,True,False,False,0.3333,True,1.0
S1-S2,S1-981593689,S2-858193357,True,False,False,0.0,False,0.6154
S1-S2,S1-981593689,S2-959907396,True,False,False,0.0,False,1.0
S1-S2,S1-359369117,S2-701861284,True,False,True,1.0,False,1.0
S1-S2,S1-359369117,S2-357687512,True,False,False,1.0,False,1.0
S1-S3,S1-359369117,S3-215293918,True,False,False,0.5,False,0.625
S1-S2,S1-354889538,S2-334019354,True,False,False,0.0,False,0.5
S1-S2,S1-354889538,S2-405677992,True,False,False,0.0,False,0.7143
S1-S3,S1-354889538,S3-785969699,True,False,False,1.0,False,0.3333
S1-S2,S1-354563783,S2-41073407,True,False,True,1.0,False,0.5
S1-S2,S1-354563783,S2-139554318,True,False,False,0.5,False,0.6667
S1-S3,S1-354563783,S3-465014444,True,False,False,0.8333,False,0.5714
S1-S2,S1-199335168,S2-586509695,True,False,False,0.3333,False,0.8824
S1-S2,S1-199335168,S2-176314669,True,False,True,1.0,False,0.9375
S1-S3,S1-199335168,S3-305631623,True,False,False,0.6667,False,0.875
S1-S3,S1-199335168,S3-273913097,True,False,False,0.5,False,0.875
S1-S2,S1-491000076,S2-193933459,True,False,False,0.5,False,0.4737
S1-S3,S1-491000076,S3-633780653,True,False,False,0.75,False,0.3333
S1-S2,S1-281610105,S2-44014772,True,False,False,0.6,False,0.4444
S1-S2,S1-281610105,S2-749595501,True,False,False,0.75,False,0.4
S1-S3,S1-281610105,S3-561270232,True,False,False,1.0,False,0.3
S1-S3,S1-281610105,S3-479621383,True,False,False,1.0,False,0.3636
S1-S2,S1-647547897,S2-853143460,True,False,False,1.0,False,1.0
S1-S2,S1-647547897,S2-896461354,True,False,False,1.0,False,0.7143
S1-S3,S1-647547897,S3-230211871,True,False,False,0.75,False,0.7143
S1-S2,S1-441655063,S2-951619538,True,False,True,1.0,False,0.8333
S1-S2,S1-441655063,S2-591717705,True,False,False,0.5,False,0.5714
S1-S2,S1-548679969,S2-544535752,True,False,False,0.75,False,0.7273
S1-S2,S1-548679969,S2-614824581,True,False,False,0.6,False,0.7273
S1-S3,S1-548679969,S3-685004187,True,False,False,0.0,False,0.6
S1-S3,S1-548679969,S3-834011814,True,False,False,0.75,False,0.6
S1-S2,S1-732252654,S2-783535423,True,False,False,0.25,False,0.0
S1-S2,S1-732252654,S2-412251378,True,True,True,1.0,False,0.5
S1-S3,S1-732252654,S3-33731945,True,True,True,1.0,False,0.625
S1-S2,S1-500151913,S2-598791675,True,False,False,1.0,False,1.0
S1-S3,S1-500151913,S3-503089864,True,False,False,0.75,False,0.5
S1-S2,S1-387663358,S2-896700091,True,False,False,0.6,False,0.7333
S1-S3,S1-387663358,S3-580474124,True,False,False,0.6667,False,0.4118
S1-S2,S1-449306864,S2-607008616,True,False,False,1.0,False,0.5
S1-S2,S1-449306864,S2-635513056,True,False,False,0.8,False,0.7143
S1-S3,S1-449306864,S3-535057563,True,False,False,1.0,False,0.2
S1-S3,S1-449306864,S3-285394589,True,False,False,0.0,False,0.4
S1-S2,S1-67184666,S2-724506827,True,False,False,0.0,False,1.0
S1-S2,S1-67184666,S2-243574627,True,False,False,0.4,False,1.0
S1-S3,S1-67184666,S3-830067306,True,False,False,0.6,False,0.375
S1-S3,S1-67184666,S3-377551819,True,False,False,1.0,False,0.7143
S1-S2,S1-186995534,S2-625212533,True,False,False,1.0,False,0.5
S1-S3,S1-186995534,S3-765700213,True,False,False,0.6667,False,0.2308
S1-S3,S1-186995534,S3-650500042,True,False,False,0.625,True,1.0
S1-S2,S1-916542392,S2-137719503,True,False,False,0.0,False,1.0
S1-S3,S1-916542392,S3-961712303,True,False,False,0.1818,False,0.5385
S1-S3,S1-916542392,S3-282309817,True,False,False,0.6,False,0.7692
S1-S2,S1-89282797,S2-891402553,True,False,True,1.0,False,0.7778
S1-S3,S1-89282797,S3-285566225,True,False,False,1.0,False,0.6
S1-S3,S1-89282797,S3-375539033,True,False,True,1.0,False,0.4444
S1-S3,S1-412087365,S3-703677453,True,False,False,0.8333,False,0.5
S1-S3,S1-412087365,S3-9199395,True,False,False,0.6667,False,0.5
S1-S2,S1-333449389,S2-306494617,True,False,False,0.0,False,0.8571
S1-S2,S1-333449389,S2-570725952,True,False,False,0.0,False,0.1111
S1-S3,S1-333449389,S3-737543666,True,False,False,0.75,False,0.8462
S1-S3,S1-333449389,S3-528065029,True,False,False,0.0,False,1.0
S1-S2,S1-466346556,S2-620586860,True,False,False,0.6,False,0.6
S1-S2,S1-466346556,S2-505848764,True,False,False,0.75,False,0.6
S1-S3,S1-466346556,S3-917906951,True,False,False,0.8,False,0.2857
S1-S3,S1-466346556,S3-484396916,True,False,False,0.75,False,0.2857
S1-S2,S1-526135639,S2-181399187,True,False,False,0.8,False,0.4444
S1-S3,S1-526135639,S3-251640233,True,False,False,0.2,False,0.4
S1-S2,S1-870244834,S2-624049107,True,False,False,0.0,False,0.3333
S1-S2,S1-870244834,S2-87950807,True,False,False,0.75,False,0.5455
S1-S3,S1-870244834,S3-953911625,True,False,False,0.6,False,0.4444
S1-S3,S1-870244834,S3-150585361,True,False,False,0.4,False,0.5556
S1-S2,S1-372838458,S2-380783129,True,False,False,0.75,False,0.6667
S1-S2,S1-372838458,S2-889077446,True,True,True,1.0,False,0.6667
S1-S2,S1-786487726,S2-846345678,True,False,False,0.5,False,0.0
S1-S2,S1-786487726,S2-938115929,True,False,False,0.0,False,0.7
S1-S2,S1-923236940,S2-97345691,True,False,False,0.6,False,0.8
S1-S2,S1-923236940,S2-223439532,True,False,False,0.6,False,0.8
S1-S3,S1-923236940,S3-685680002,True,False,False,1.0,False,0.7333
S1-S3,S1-923236940,S3-20280355,True,False,False,0.6,False,0.7333
S1-S2,S1-93926066,S2-55167449,True,True,True,1.0,False,0.8
S1-S2,S1-93926066,S2-348416163,True,False,False,0.6667,False,0.7273
S1-S3,S1-93926066,S3-350448069,True,False,False,0.3333,False,0.6667
S1-S3,S1-93926066,S3-608862225,True,False,False,0.6667,False,0.4167
S1-S2,S1-295398775,S2-822448179,True,False,False,1.0,False,0.625
S1-S2,S1-295398775,S2-664242876,True,False,False,1.0,False,0.3333
S1-S3,S1-295398775,S3-350753073,True,False,False,0.75,False,0.3333
S1-S2,S1-571004885,S2-434751720,True,False,False,0.0,False,0.5714
S1-S3,S1-571004885,S3-204192101,True,False,False,1.0,False,0.875
S1-S3,S1-571004885,S3-714238060,True,False,False,0.0,False,0.75
S1-S2,S1-899683274,S2-212916025,True,False,False,0.5,False,0.0
S1-S2,S1-899683274,S2-595342995,True,False,False,0.0,False,0.5
S1-S3,S1-899683274,S3-574412879,True,False,False,0.5,False,0.7778
S1-S2,S1-155361550,S2-702980604,True,False,False,1.0,False,0.6667
S1-S2,S1-155361550,S2-432578505,True,False,False,0.6667,False,1.0
S1-S2,S1-997628666,S2-906336676,True,False,False,0.5,False,0.7143
S1-S2,S1-997628666,S2-37915840,True,False,False,0.75,False,0.5
S1-S3,S1-997628666,S3-989772113,True,False,False,0.75,False,0.5556
S1-S2,S1-394011152,S2-436946851,True,False,False,0.6667,False,0.7778
S1-S3,S1-394011152,S3-14858756,True,False,False,1.0,False,0.7
S1-S3,S1-394011152,S3-908821350,True,False,True,1.0,False,0.7
S1-S2,S1-670119172,S2-608589819,True,False,False,0.6667,False,0.5
S1-S2,S1-670119172,S2-900627715,True,False,False,0.5,False,0.5714
S1-S3,S1-670119172,S3-239871146,True,False,False,0.5,False,0.2
S1-S3,S1-670119172,S3-190182435,True,False,False,0.4,False,0.2
S1-S2,S1-866544288,S2-861759024,True,False,False,0.7143,False,0.75
S1-S3,S1-866544288,S3-725235386,True,False,False,0.0,False,0.4545
S1-S2,S1-459798887,S2-816287816,True,False,False,0.5714,False,0.2727
S1-S3,S1-459798887,S3-197082864,True,False,False,1.0,False,0.5
S1-S3,S1-459798887,S3-599469767,True,False,False,0.7143,False,0.6
S1-S2,S1-12554179,S2-283034401,True,False,False,0.5,False,0.4583
S1-S2,S1-12554179,S2-263064661,True,False,False,0.75,False,0.4583
S1-S2,S1-704623918,S2-437201022,True,False,False,0.8,False,0.875
S1-S2,S1-704623918,S2-64754013,True,False,False,0.6,False,0.5
S1-S3,S1-704623918,S3-151231809,True,False,False,1.0,False,0.3636
S1-S2,S1-826085565,S2-69491551,True,False,False,0.0,False,0.7647
S1-S2,S1-826085565,S2-462148816,True,False,False,0.0,False,0.8824
S1-S3,S1-826085565,S3-96577433,True,False,False,1.0,False,0.8333
S1-S2,S1-77155375,S2-838801290,True,False,False,0.5,False,0.5
S1-S2,S1-77155375,S2-797099823,True,False,True,1.0,False,0.4286
S1-S3,S1-77155375,S3-826470499,True,False,False,0.6667,False,0.4286
S1-S3,S1-77155375,S3-649312725,True,False,False,0.6667,False,0.6667
S1-S2,S1-741722864,S2-924082921,True,False,False,0.75,False,0.6
S1-S3,S1-741722864,S3-690435139,True,True,True,1.0,False,0.5714
S1-S3,S1-741722864,S3-404338542,True,False,False,0.5,False,0.0
S1-S2,S1-20062520,S2-505890771,True,False,False,0.75,False,0.7143
S1-S3,S1-20062520,S3-650994508,True,False,False,0.3333,False,0.5
S1-S3,S1-20062520,S3-612765588,True,False,False,0.8,False,0.3333
S1-S2,S1-757018393,S2-323826434,True,False,True,1.0,False,0.7778
S1-S3,S1-757018393,S3-976069257,True,False,True,1.0,False,0.3636
S1-S3,S1-757018393,S3-236461288,True,False,False,0.6,False,0.6
S1-S2,S1-938338283,S2-638893609,True,False,False,0.75,False,0.75
S1-S2,S1-938338283,S2-352101577,True,False,False,0.75,False,0.9
S1-S3,S1-938338283,S3-272809343,True,False,False,0.5,False,0.7
S1-S2,S1-677193140,S2-29192141,True,False,False,1.0,False,0.75
S1-S2,S1-677193140,S2-852280731,True,False,False,0.6,False,1.0
S1-S3,S1-677193140,S3-652515671,True,False,False,0.0,False,0.75
S1-S3,S1-677193140,S3-805699381,True,False,False,0.4,False,0.5556
S1-S2,S1-643443638,S2-526735158,True,False,False,1.0,False,0.0
S1-S2,S1-643443638,S2-347892797,True,False,False,0.6,False,0.7143
S1-S3,S1-643443638,S3-220174380,True,False,False,0.75,False,0.5
S1-S2,S1-464974641,S2-153950533,True,False,False,1.0,False,0.8333
S1-S3,S1-464974641,S3-831485145,True,False,False,1.0,False,0.6667
S1-S2,S1-221212214,S2-578220776,True,False,False,0.6,False,0.9286
S1-S2,S1-221212214,S2-186308719,True,False,False,1.0,False,0.9286
S1-S2,S1-492670902,S2-364906471,True,False,False,0.3333,False,0.6
S1-S2,S1-492670902,S2-530111693,True,False,True,1.0,False,0.7778
S1-S3,S1-492670902,S3-375414820,True,False,False,0.25,False,0.4
S1-S3,S1-784017016,S3-300333418,True,False,False,0.75,False,0.125
S1-S3,S1-784017016,S3-948307138,True,False,False,0.6,False,0.125
S1-S2,S1-782734433,S2-609366455,True,False,False,0.0,False,0.6429
S1-S2,S1-782734433,S2-317096646,True,False,False,0.0,False,0.2857
S1-S3,S1-782734433,S3-207385893,True,False,False,0.6667,False,0.3333
S1-S3,S1-782734433,S3-139521656,True,False,False,0.4,False,0.5333
S1-S2,S1-315171811,S2-381666259,True,False,False,0.0,False,0.8333
S1-S2,S1-315171811,S2-72156421,True,False,False,0.6,False,0.0
S1-S3,S1-315171811,S3-737890146,True,False,True,1.0,False,0.5
S1-S2,S1-92494157,S2-629235320,True,False,False,0.0,False,0.9231
S1-S3,S1-92494157,S3-625632795,True,False,True,1.0,False,0.6875
S1-S3,S1-92494157,S3-611865286,True,False,False,0.6667,False,0.6875
S1-S2,S1-134755367,S2-214030604,True,False,False,0.0,False,0.3077
S1-S3,S1-134755367,S3-622208835,True,False,False,0.5,False,0.3333
S1-S3,S1-380308502,S3-312627427,True,False,False,0.75,False,0.7857
S1-S2,S1-527148562,S2-509391343,True,False,False,0.0,False,0.2727
S1-S2,S1-527148562,S2-927105480,True,False,False,1.0,False,0.8636
S1-S3,S1-527148562,S3-602162798,True,False,False,1.0,False,0.9091
S1-S2,S1-342352922,S2-950617428,True,False,False,0.5,False,0.5556
S1-S3,S1-342352922,S3-909891057,True,False,False,0.75,False,0.3333
S1-S3,S1-342352922,S3-149561744,True,False,True,1.0,False,0.5
S1-S2,S1-65212889,S2-270698824,True,False,False,0.5714,False,0.5
S1-S3,S1-65212889,S3-307682991,True,False,False,0.5,False,0.6667
S1-S3,S1-65212889,S3-95127321,True,False,False,0.5714,False,0.3333
S1-S2,S1-574333023,S2-441818910,True,False,False,0.0,False,0.4
S1-S2,S1-861658996,S2-919462206,True,False,False,0.0,False,0.5833
S1-S2,S1-446003805,S2-809440879,True,False,False,0.6667,False,0.7778
S1-S2,S1-446003805,S2-122775303,True,False,True,1.0,False,0.7778
S1-S3,S1-446003805,S3-609166608,True,False,False,1.0,False,0.6
S1-S3,S1-446003805,S3-495976304,True,False,False,0.0,False,0.6
S1-S2,S1-119038018,S2-14284306,True,False,False,1.0,False,0.5263
S1-S2,S1-119038018,S2-101747831,True,False,False,0.4,False,0.8571
S1-S3,S1-119038018,S3-909098448,True,False,False,0.5,False,0.3333
S1-S3,S1-119038018,S3-590899769,True,False,False,0.5,False,0.3889
S1-S2,S1-925657592,S2-440413949,True,False,False,1.0,False,0.4286
S1-S3,S1-925657592,S3-652698763,True,False,False,0.5,False,0.375
S1-S3,S1-925657592,S3-765867523,True,False,False,0.75,False,0.5714
S1-S2,S1-876625968,S2-55629491,True,False,False,0.0,False,0.7778
S1-S3,S1-876625968,S3-918914143,True,False,False,1.0,False,0.8
S1-S3,S1-876625968,S3-940463762,True,False,False,0.0,True,1.0
S1-S2,S1-872140900,S2-502481708,True,False,False,0.75,False,0.7143
S1-S3,S1-872140900,S3-502872791,True,False,False,0.6,False,0.2
S1-S3,S1-872140900,S3-179461596,True,False,False,1.0,False,0.2
S1-S2,S1-621252369,S2-663154228,True,False,True,1.0,False,0.5
S1-S2,S1-621252369,S2-967233122,True,False,False,0.5,False,0.5
S1-S3,S1-621252369,S3-263796652,True,False,True,1.0,False,0.3846
S1-S3,S1-621252369,S3-172175900,True,False,False,0.8333,False,0.2308
S1-S2,S1-241504618,S2-829502676,True,False,False,1.0,False,0.4444
S1-S2,S1-241504618,S2-916585467,True,False,False,0.6,False,0.4444
S1-S3,S1-241504618,S3-481188031,True,False,False,1.0,False,0.5
S1-S3,S1-241504618,S3-278800273,True,False,False,0.75,False,0.3
S1-S2,S1-618751713,S2-787960435,True,False,False,0.5,False,1.0
S1-S3,S1-618751713,S3-810495476,True,False,False,1.0,False,0.4
S1-S2,S1-999013499,S2-689940798,True,False,False,0.75,False,0.625
S1-S2,S1-999013499,S2-4702910,True,False,False,0.6,False,0.4444
S1-S3,S1-999013499,S3-283541327,True,False,False,0.6,False,0.5
S1-S2,S1-819204801,S2-923887619,True,False,False,0.75,False,0.25
S1-S3,S1-819204801,S3-692987950,True,False,False,1.0,False,0.5714
S1-S3,S1-819204801,S3-139262287,True,False,False,1.0,False,0.5714
S1-S2,S1-564682778,S2-973977753,True,False,False,0.8,False,0.6667
S1-S2,S1-564682778,S2-204554700,True,False,True,1.0,False,0.6667
S1-S3,S1-564682778,S3-949197127,True,False,False,1.0,False,0.0
S1-S3,S1-564682778,S3-159219188,True,False,False,1.0,False,0.6667
S1-S2,S1-662836843,S2-586963633,True,False,False,0.0,False,0.2941
S1-S2,S1-662836843,S2-914884248,True,False,False,1.0,False,0.25
S1-S3,S1-662836843,S3-644880921,True,False,False,0.0,False,0.6111
S1-S2,S1-547778479,S2-912815767,True,False,False,0.4286,False,0.625
S1-S2,S1-547778479,S2-136366177,True,False,False,0.5,False,0.5
S1-S3,S1-547778479,S3-900920408,True,False,False,0.75,False,0.2
S1-S2,S1-451851393,S2-407142982,True,False,False,0.75,False,0.4
S1-S3,S1-451851393,S3-855659275,True,False,False,0.6,False,0.5556
S1-S3,S1-451851393,S3-436000,True,False,False,0.75,False,0.4
S1-S3,S1-431348789,S3-372702483,True,False,False,0.3333,False,0.5
S1-S3,S1-431348789,S3-511790640,True,False,True,1.0,False,0.4167
S1-S2,S1-990026822,S2-657541389,True,False,False,0.0769,False,0.4375
S1-S3,S1-990026822,S3-379864109,True,False,False,0.6,False,0.75
S1-S2,S1-700408112,S2-906102362,True,False,False,0.6,False,1.0
S1-S3,S1-700408112,S3-798931087,True,True,True,1.0,False,0.7143
S1-S3,S1-700408112,S3-723920328,True,True,True,1.0,False,0.7143
S1-S2,S1-550452803,S2-414646663,True,False,False,0.75,False,1.0
S1-S3,S1-550452803,S3-477976812,True,False,False,0.8,False,0.5556
S1-S2,S1-485469727,S2-942401998,True,False,False,0.5,False,0.6667
S1-S2,S1-485469727,S2-891562994,True,False,False,0.5,False,0.2857
S1-S3,S1-485469727,S3-743775288,True,False,False,0.6667,False,0.6667
S1-S3,S1-485469727,S3-846558711,True,False,False,0.75,False,0.2857
S1-S2,S1-103833541,S2-333324291,True,False,False,0.0,False,0.9
S1-S2,S1-103833541,S2-581071655,True,False,False,1.0,False,0.8
S1-S3,S1-103833541,S3-741932778,True,True,True,1.0,False,0.2308
S1-S3,S1-103833541,S3-461733293,True,False,False,0.0,False,0.2308
S1-S2,S1-562225034,S2-381998521,True,False,False,0.5,False,0.6667
S1-S3,S1-562225034,S3-971585197,True,False,False,0.6667,False,0.6667
S1-S2,S1-646625751,S2-472755101,True,False,False,1.0,False,0.6667
S1-S2,S1-646625751,S2-139253885,True,False,False,0.75,False,0.4286
S1-S3,S1-646625751,S3-645831157,True,False,False,0.75,False,0.6667
S1-S3,S1-646625751,S3-364029795,True,False,False,0.5,False,0.6667
S1-S2,S1-580103163,S2-512140859,True,False,False,0.6667,False,0.6667
S1-S2,S1-580103163,S2-88733727,True,False,False,0.6667,False,0.6667
S1-S3,S1-580103163,S3-462103485,True,False,False,0.6667,False,0.5
S1-S3,S1-580103163,S3-874041669,True,False,False,1.0,False,0.4286
S1-S2,S1-864848726,S2-628478838,True,False,False,0.75,False,0.6667
S1-S2,S1-864848726,S2-529886358,True,False,False,0.6667,False,0.5
S1-S2,S1-390296302,S2-996434069,True,False,False,0.0,False,0.875
S1-S3,S1-390296302,S3-647323514,True,False,False,0.5,False,0.5
S1-S2,S1-553150887,S2-521284906,True,False,False,1.0,False,0.6667
S1-S2,S1-553150887,S2-181153213,True,False,False,0.6667,False,0.6667
S1-S3,S1-553150887,S3-737880173,True,False,False,1.0,False,0.5714
S1-S2,S1-136067167,S2-645228611,True,False,False,0.0,False,0.9
S1-S3,S1-136067167,S3-646076591,True,False,False,0.0,False,0.6364
S1-S3,S1-136067167,S3-910173292,True,False,False,1.0,False,0.5455
S1-S2,S1-451915124,S2-911711833,True,False,False,0.6,False,0.5
S1-S2,S1-451915124,S2-411899306,True,False,False,1.0,False,0.5
S1-S3,S1-451915124,S3-645532094,True,False,False,1.0,False,0.375
S1-S3,S1-451915124,S3-244247706,True,False,False,0.0,False,0.4
S1-S2,S1-609102019,S2-975076974,True,False,False,0.8333,False,0.7143
S1-S2,S1-609102019,S2-610997751,True,False,False,0.8333,False,0.7143
S1-S3,S1-609102019,S3-693016582,True,False,False,0.5714,False,0.75
S1-S3,S1-609102019,S3-785883482,True,False,False,0.4286,False,0.625
S1-S2,S1-483220993,S2-555662185,True,False,False,0.0,False,0.6667
S1-S3,S1-483220993,S3-598197353,True,False,False,0.5,False,0.5714
S1-S3,S1-483220993,S3-76187042,True,False,False,0.5,False,0.375
S1-S2,S1-839598738,S2-304207689,True,False,False,0.6667,False,0.7778
S1-S3,S1-839598738,S3-404159975,True,False,False,0.6667,False,0.3125
S1-S3,S1-839598738,S3-607369442,True,False,False,0.5,True,1.0
S1-S3,S1-683477702,S3-258740186,True,False,False,1.0,False,0.75
